Day,Month,Year,pm10_egnatia,pm10_egnatia_yest,pm10_lagkada,pm25_egnatia,no2_egnatia,so2_egnatia,temperature_egnatia,humidity_egnatia,WINDS_kord,Target
2649,3,4,2007,62,51,55,38,109,22,14.9,49,1.14,66
2650,4,4,2007,66,62,59,42,118,18,13.7,61,1.26,59
2651,5,4,2007,59,66,24,33,100,13,14.3,62,0.97,59
2652,6,4,2007,59,59,38,38,98,17,15.7,55,0.91,56
2653,7,4,2007,56,59,41,36,104,15,17.6,47,1.14,42
2654,8,4,2007,42,56,23,23,96,8,19.2,29,1.41,42
2655,9,4,2007,42,42,26,27,87,7,18.5,34,1,76
2656,10,4,2007,76,42,63,47,122,25,18.2,43,1.72,78
2657,11,4,2007,78,76,60,45,121,16,19.5,39,1.25,54
2658,12,4,2007,54,78,30,29,98,11,17.8,47,0.97,74
2659,13,4,2007,74,54,50,42,116,22,17.7,46,0.96,72
2660,14,4,2007,72,74,47,45,114,14,17.8,55,1.34,116
2661,15,4,2007,116,72,43,58,102,12,19,48,1.45,59
2662,16,4,2007,59,116,20,33,107,6,13.9,55,1.44,67
2663,17,4,2007,67,59,29,35,94,17,13.5,54,1.17,70
2664,18,4,2007,70,67,42,36,99,19,15.6,48,,80
2665,19,4,2007,80,70,51,39,123,18,18.6,32,,54
2666,20,4,2007,54,80,35,32,95,14,18,38,,66
2667,21,4,2007,66,54,52,48,93,16,17.7,55,1.31,65
2668,22,4,2007,65,66,51,42,102,16,19.9,56,,51
2669,23,4,2007,51,65,39,28,96,10,18.8,50,,57
2670,24,4,2007,57,51,40,34,111,9,17.8,43,1.32,66
2671,25,4,2007,66,57,34,39,115,13,16.4,61,0.78,45
2672,26,4,2007,45,66,29,27,89,6,17.1,42,,43
2673,27,4,2007,43,45,34,29,105,10,17.3,40,,60
2674,28,4,2007,60,43,47,40,106,12,18.1,46,1.08,90
2675,29,4,2007,90,60,48,49,106,11,19.8,49,1.02,104
2676,30,4,2007,104,90,61,62,112,14,21,52,,47
2677,1,5,2007,47,104,23,32,55,3,20.1,57,1.24,71
2678,2,5,2007,71,47,25,41,105,4,20.1,56,1.5,57
2679,3,5,2007,57,71,27,31,90,4,18.1,65,0.76,68
2680,4,5,2007,68,57,53,46,109,13,18.2,62,0.68,54
2681,5,5,2007,54,68,41,34,100,9,19.4,59,0.86,50
2682,6,5,2007,50,54,35,35,98,10,22,49,0.86,73
2683,7,5,2007,73,50,56,40,114,33,22.1,48,1.46,48
2684,8,5,2007,48,73,26,28,113,21,24.5,34,1.49,67
2685,9,5,2007,67,48,45,42,108,17,25,34,1.17,68
2686,10,5,2007,68,67,40,39,108,11,25.8,34,1.33,69
2687,11,5,2007,69,68,48,45,105,16,23.9,46,1.11,57
2688,12,5,2007,57,69,50,34,98,11,24.1,46,0.92,63
2689,13,5,2007,63,57,57,42,96,11,26.2,43,1.04,70
2690,14,5,2007,70,63,61,39,105,8,25.7,47,1.13,56
2691,15,5,2007,56,70,41,35,96,11,25.1,39,1.15,71
2692,16,5,2007,71,56,46,42,115,12,24.8,43,1.61,63
2693,17,5,2007,63,71,48,38,101,9,24.4,49,1.45,60
2694,18,5,2007,60,63,41,37,107,8,22.1,50,1.42,44
2695,19,5,2007,44,60,20,30,91,4,19.1,66,1.29,51
2696,20,5,2007,51,44,26,33,85,3,18.4,83,0.89,72
2697,21,5,2007,72,51,60,39,103,3,20.3,73,1.2,66
2698,22,5,2007,66,72,62,38,100,3,21.7,65,1.14,83
2699,23,5,2007,83,66,45,44,91,6,21.1,71,1.06,65
2700,24,5,2007,65,83,20,36,92,5,20.8,73,0.94,86
2701,25,5,2007,86,65,35,36,101,6,22.9,62,0.97,65
2702,26,5,2007,65,86,42,36,88,9,24.2,59,1.06,58
2703,27,5,2007,58,65,32,41,82,10,24.3,60,1.42,66
2704,28,5,2007,66,58,36,39,82,8,24.8,59,1.28,53
2705,29,5,2007,53,66,39,29,90,8,24.6,52,1.49,46
2706,30,5,2007,46,53,24,28,97,12,23.9,32,1.44,48
2707,31,5,2007,48,46,22,30,119,7,24.5,33,,49
2708,1,6,2007,49,48,23,31,92,12,24.3,40,1.35,56
2709,2,6,2007,56,49,29,35,97,7,23.8,57,1.24,52
2710,3,6,2007,52,56,29,33,93,5,25.5,49,1.27,62
2711,4,6,2007,62,52,42,39,94,5,26.2,46,1.33,58
2712,5,6,2007,58,62,27,37,108,2,21.8,69,1.4,56
2713,6,6,2007,56,58,20,31,106,2,21.2,71,0.93,59
2714,7,6,2007,59,56,24,31,111,4,24.6,49,1.06,66
2715,8,6,2007,66,59,43,42,116,4,24.4,48,1.08,65
2716,9,6,2007,65,66,34,37,97,3,25.4,43,1.23,48
2717,10,6,2007,48,65,30,29,83,5,25.3,46,1.25,58
2718,11,6,2007,58,48,35,32,97,10,25.6,47,1.28,67
2719,12,6,2007,67,58,42,37,102,8,26.4,47,1.28,56
2720,13,6,2007,56,67,28,36,96,7,26.5,52,1.32,61
2721,14,6,2007,61,56,26,34,111,6,26.2,51,1.07,63
2722,15,6,2007,63,61,42,40,115,6,28.3,47,1.03,69
2723,16,6,2007,69,63,51,42,113,7,27.8,47,1.08,43
2724,17,6,2007,43,69,18,22,100,7,30,35,1.26,60
2725,18,6,2007,60,43,26,37,107,5,30.7,38,1.07,72
