Day,Month,Year,o3_egnatia,o3_egnatia_yest,o3_eptapyrgiou,o3_lagkada,no2_egnatia,no2_egnatia_yest,temperature_egnatia,humidity_egnatia,WINDS_kord,WINDD_kord,Target
2639,24,3,2007,32,33,54,35,92,87,14.5,50,1,134.49,35
2640,25,3,2007,35,32,56,41,90,92,14.7,52,1.5,130.48,36
2641,26,3,2007,36,35,60,46,105,90,11.8,69,1.22,161.99,38
2642,27,3,2007,38,36,54,41,94,105,10,70,1.28,143.58,42
2643,28,3,2007,42,38,67,54,93,94,11.2,42,0.98,139.39,33
2644,29,3,2007,33,42,53,39,112,93,11.2,57,0.82,144.54,30
2645,30,3,2007,30,33,41,36,113,112,11.6,65,1.05,135.8,35
2646,31,3,2007,35,30,48,49,87,113,13.7,67,,,36
2647,1,4,2007,36,35,50,51,68,87,12.9,70,1.15,152.82,33
2648,2,4,2007,33,36,54,45,95,68,14.4,54,1,154.53,37
2649,3,4,2007,37,33,59,47,109,95,14.9,49,1.14,133.33,35
2650,4,4,2007,35,37,58,48,118,109,13.7,61,1.26,197.9,46
2651,5,4,2007,46,35,71,68,100,118,14.3,62,0.97,175.51,42
2652,6,4,2007,42,46,68,61,98,100,15.7,55,0.91,156.47,40
2653,7,4,2007,40,42,71,52,104,98,17.6,47,1.14,222.79,40
2654,8,4,2007,40,40,76,60,96,104,19.2,29,1.41,159.68,54
2655,9,4,2007,54,40,84,76,87,96,18.5,34,1,157.59,38
2656,10,4,2007,38,54,65,46,122,87,18.2,43,1.72,217.22,38
2657,11,4,2007,38,38,70,58,121,122,19.5,39,1.25,148.35,40
2658,12,4,2007,40,38,63,46,98,121,17.8,47,0.97,162.06,36
2659,13,4,2007,36,40,50,41,116,98,17.7,46,0.96,149.3,42
2660,14,4,2007,42,36,61,49,114,116,17.8,55,1.34,187.3,47
2661,15,4,2007,47,42,72,64,102,114,19,48,1.45,77.19,36
2662,16,4,2007,36,47,58,49,107,102,13.9,55,1.44,164.53,37
2663,17,4,2007,37,36,55,48,94,107,13.5,54,1.17,168.96,47
2664,18,4,2007,47,37,66,49,99,94,15.6,48,,,37
2665,19,4,2007,37,47,64,50,123,99,18.6,32,,,46
2666,20,4,2007,46,37,68,60,95,123,18,38,,,52
2667,21,4,2007,52,46,67,59,93,95,17.7,55,1.31,148.52,52
2668,22,4,2007,52,52,79,63,102,93,19.9,56,,,48
2669,23,4,2007,48,52,76,64,96,102,18.8,50,,,45
2670,24,4,2007,45,48,72,58,111,96,17.8,43,1.32,171.81,42
2671,25,4,2007,42,45,61,52,115,111,16.4,61,0.78,186.51,48
2672,26,4,2007,48,42,74,57,89,115,17.1,42,,,41
2673,27,4,2007,41,48,70,53,105,89,17.3,40,,,40
2674,28,4,2007,40,41,57,44,106,105,18.1,46,1.08,162.38,42
2675,29,4,2007,42,40,75,51,106,106,19.8,49,1.02,229.33,48
2676,30,4,2007,48,42,70,62,112,106,21,52,,,80
2677,1,5,2007,80,48,97,87,55,112,20.1,57,1.24,175.94,45
2678,2,5,2007,45,80,75,64,105,55,20.1,56,1.5,180.23,44
2679,3,5,2007,44,45,64,56,90,105,18.1,65,0.76,169.87,32
2680,4,5,2007,32,44,40,29,109,90,18.2,62,0.68,167.85,41
2681,5,5,2007,41,32,59,45,100,109,19.4,59,0.86,214.04,42
2682,6,5,2007,42,41,63,49,98,100,22,49,0.86,152.33,43
2683,7,5,2007,43,42,78,62,114,98,22.1,48,1.46,177.37,44
2684,8,5,2007,44,43,80,71,113,114,24.5,34,1.49,273.36,43
2685,9,5,2007,43,44,65,55,108,113,25,34,1.17,237.83,46
2686,10,5,2007,46,43,75,60,108,108,25.8,34,1.33,156.39,45
2687,11,5,2007,45,46,69,54,105,108,23.9,46,1.11,192.78,46
2688,12,5,2007,46,45,59,50,98,105,24.1,46,0.92,193.88,54
2689,13,5,2007,54,46,75,64,96,98,26.2,43,1.04,226.86,49
2690,14,5,2007,49,54,72,54,105,96,25.7,47,1.13,167.95,47
2691,15,5,2007,47,49,74,60,96,105,25.1,39,1.15,174.4,41
2692,16,5,2007,41,47,67,53,115,96,24.8,43,1.61,255.59,50
2693,17,5,2007,50,41,81,59,101,115,24.4,49,1.45,222.05,47
2694,18,5,2007,47,50,80,63,107,101,22.1,50,1.42,91.67,37
2695,19,5,2007,37,47,62,47,91,107,19.1,66,1.29,262.44,24
2696,20,5,2007,24,37,47,34,85,91,18.4,83,0.89,207.67,24
2697,21,5,2007,24,24,39,32,103,85,20.3,73,1.2,212.03,35
2698,22,5,2007,35,24,64,44,100,103,21.7,65,1.14,134.37,40
2699,23,5,2007,40,35,62,47,91,100,21.1,71,1.06,171.31,39
2700,24,5,2007,39,40,58,45,92,91,20.8,73,0.94,182.53,38
2701,25,5,2007,38,39,60,40,101,92,22.9,62,0.97,185.37,47
2702,26,5,2007,47,38,65,50,88,101,24.2,59,1.06,200.14,53
2703,27,5,2007,53,47,75,58,82,88,24.3,60,1.42,159.52,51
2704,28,5,2007,51,53,78,57,82,82,24.8,59,1.28,123.14,38
2705,29,5,2007,38,51,62,48,90,82,24.6,52,1.49,263.35,51
2706,30,5,2007,51,38,78,67,97,90,23.9,32,1.44,225.41,42
2707,31,5,2007,42,51,75,62,119,97,24.5,33,,,48
2708,1,6,2007,48,42,70,63,92,119,24.3,40,1.35,173.88,43
2709,2,6,2007,43,48,66,56,97,92,23.8,57,1.24,165.75,46
2710,3,6,2007,46,43,69,60,93,97,25.5,49,1.27,136.56,48
2711,4,6,2007,48,46,69,57,94,93,26.2,46,1.33,161.25,41
2712,5,6,2007,41,48,59,48,108,94,21.8,69,1.4,131.61,34
